disease,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6
Asthma,cough at night,breathlessness,chest tightness,,,
Asthma,wheezing,short breath,fatigue,,,
Asthma,breathing difficulty,rapid breathing,cough,,,
Asthma,chest tightness,wheezing,fatigue,,,
Asthma,cough with mucus,wheezing,chest pain,,,
Asthma,shortness of breath,exercise induced cough,wheezing,,,
Asthma,chest pressure,cough,breathing difficulty,,,
Asthma,wheezing,chest pain,night symptoms,,,
Asthma,breathlessness,cough,restless sleep,,,
Asthma,short breath,anxiety,chest tightness,,,
Asthma,cough,wheezing,low peak flow,,,
Asthma,chest tightness,breathlessness,fatigue,,,
Asthma,wheezing,cough at night,chest pain,,,
Asthma,breathlessness,cough,exercise difficulty,,,
Asthma,chest tightness,wheezing,labored breathing,,,
Asthma,cough,wheezing,chest discomfort,,,
COPD,chronic cough,shortness of breath,wheezing,,,
COPD,excess mucus,breathlessness,chest tightness,,,
COPD,long term cough,breathlessness,fatigue,,,
COPD,chronic cough,phlegm production,wheezing,,,
COPD,shortness of breath,blue lips,chronic cough,,,
COPD,wheezing,chest tightness,breathlessness,,,
COPD,cough with sputum,labored breathing,fatigue,,,
COPD,shortness of breath,chronic cough,chest discomfort,,,
COPD,wheezing,frequent chest infections,fatigue,,,
COPD,breathlessness,weight loss,chronic cough,,,
COPD,chest pain,short breath,cough with phlegm,,,
COPD,long term cough,breathlessness,low stamina,,,
COPD,wheezing,chest pressure,breathing difficulty,,,
COPD,phlegm,cough,short breath,,,
COPD,chest tightness,fatigue,chronic cough,,,
COPD,coughing up mucus,breathing difficulty,weight loss,,,
COPD,wheezing,chest pain,low exercise tolerance,,,
COPD,chronic cough,shortness of breath,labored breathing,,,
COPD,frequent chest infections,fatigue,breathlessness,,,
COPD,chronic cough,sputum,breathing problems,,,
Laryngitis,hoarse voice,sore throat,cough,,,
Laryngitis,voice loss,throat pain,hoarseness,,,
Laryngitis,hoarse voice,dry throat,dry cough,,,
Laryngitis,throat irritation,voice changes,sore throat,,,
Laryngitis,hoarseness,throat discomfort,weak voice,,,
Laryngitis,dry throat,scratchy throat,voice loss,,,
Laryngitis,hoarse voice,painful swallowing,throat pain,,,
Laryngitis,voice fatigue,hoarseness,cough,,,
Laryngitis,weak voice,throat irritation,dry cough,,,
Laryngitis,hoarse voice,loss of voice,sore throat,,,
Laryngitis,throat pain,dry throat,hoarseness,,,
Laryngitis,voice strain,throat irritation,hoarse voice,,,
Laryngitis,hoarseness,sore throat,cough,,,
Laryngitis,weak voice,dry cough,throat pain,,,
Laryngitis,hoarse voice,throat tightness,discomfort,,,
Laryngitis,scratchy throat,hoarseness,voice fatigue,,,
Laryngitis,hoarse voice,pain in throat,weak voice,,,
Laryngitis,dry cough,hoarseness,throat discomfort,,,
Laryngitis,loss of voice,throat irritation,weak voice,,,
Laryngitis,hoarse voice,sore throat,voice change,,,
Pleurisy,sharp chest pain,worse with breathing,cough,,,
Pleurisy,stabbing chest pain,shortness of breath,fever,,,
Pleurisy,chest pain,deep breathing pain,cough,,,
Pleurisy,pleuritic chest pain,breathing difficulty,chills,,,
Pleurisy,sharp chest pain,worse with coughing,fever,,,
Pleurisy,short breath,chest pain,labored breathing,,,
Pleurisy,chest pain,shallow breathing,cough,,,
Pleurisy,sharp chest pain,fatigue,breathlessness,,,
Pleurisy,chest discomfort,fever,breathing pain,,,
Pleurisy,pleuritic chest pain,cough,chest tightness,,,
Pleurisy,chest pain with movement,breathlessness,fever,,,
Pleurisy,sharp stabbing chest pain,cough,labored breathing,,,
Pleurisy,chest pain,breathlessness,loss of appetite,,,
Pleurisy,pleuritic pain,fever,chills,,,
Pleurisy,sharp chest pain,difficulty breathing,cough,,,
Pleurisy,chest pain with deep breath,fever,fatigue,,,
Pleurisy,short breath,chest tightness,pleuritic pain,,,
Pleurisy,chest pain,breathlessness,cough,,,
Pleurisy,pleuritic chest pain,chills,labored breathing,,,
Pleurisy,sharp chest pain,fever,breathing difficulty,,,
Pulmonary Embolism,sudden shortness of breath,chest pain,cough,,,
Pulmonary Embolism,sharp chest pain,rapid breathing,anxiety,,,
Pulmonary Embolism,short breath,coughing blood,chest pain,,,
Pulmonary Embolism,breathlessness,leg swelling,chest discomfort,,,
Pulmonary Embolism,sharp chest pain,fast heartbeat,short breath,,,
Pulmonary Embolism,breathlessness,fainting,chest tightness,,,
Pulmonary Embolism,short breath,rapid pulse,cough,,,
Pulmonary Embolism,chest pain,breathing difficulty,anxiety,,,
Pulmonary Embolism,sharp chest pain,cough with blood,fatigue,,,
Pulmonary Embolism,shortness of breath,blue lips,chest pain,,,
Pulmonary Embolism,chest tightness,lightheadedness,short breath,,,
Pulmonary Embolism,sharp chest pain,cough,fast breathing,,,
Pulmonary Embolism,breathlessness,chest pain,rapid heartbeat,,,
Pulmonary Embolism,short breath,anxiety,chest tightness,,,
Pulmonary Embolism,sharp chest pain,sweating,short breath,,,
Pulmonary Embolism,coughing blood,chest pain,breathlessness,,,
Pulmonary Embolism,short breath,chest discomfort,weakness,,,
Pulmonary Embolism,sharp chest pain,blue lips,breathlessness,,,
Pulmonary Embolism,shortness of breath,cough,fatigue,,,
Pulmonary Embolism,chest pain,fast pulse,breathing difficulty,,,
Gastritis,stomach pain,nausea,indigestion,,,
Gastritis,upper abdominal pain,bloating,belching,,,
Gastritis,stomach burning,nausea,vomiting,,,
Gastritis,indigestion,loss of appetite,stomach pain,,,
Gastritis,stomach cramps,fullness after meals,nausea,,,
Gastritis,stomach pain,black stool,vomiting blood,,,
Gastritis,upper belly discomfort,nausea,loss of appetite,,,
Gastritis,stomach ache,bloating,fatigue,,,
Gastritis,heartburn,nausea,belching,,,
Gastritis,stomach tenderness,vomiting,loss of appetite,,,
Gastritis,indigestion,upper stomach pain,gas,,,
Gastritis,stomach pain after eating,bloating,belching,,,
Gastritis,upper belly pain,vomiting blood,nausea,,,
Gastritis,indigestion,acid reflux,stomach burning,,,
Gastritis,loss of appetite,stomach cramps,nausea,,,
Gastritis,stomach fullness,bloating,belching,,,
Gastritis,upper abdominal pain,gas,indigestion,,,
Gastritis,stomach pain,vomiting,fatigue,,,
Gastritis,heartburn,stomach discomfort,nausea,,,
Gastritis,stomach cramps,loss of appetite,belching,,,
Peptic Ulcer,stomach pain,acid reflux,nausea,,,
Peptic Ulcer,burning pain,indigestion,belching,,,
Peptic Ulcer,upper abdominal pain,fullness after meals,heartburn,,,
Peptic Ulcer,stomach burning,loss of appetite,weight loss,,,
Peptic Ulcer,night stomach pain,indigestion,nausea,,,
Peptic Ulcer,stomach ache,bloating,fatigue,,,
Peptic Ulcer,gnawing stomach pain,acid reflux,heartburn,,,
Peptic Ulcer,stomach discomfort,vomiting blood,black stool,,,
Peptic Ulcer,stomach cramps,belching,nausea,,,
Peptic Ulcer,indigestion,stomach pain,acid reflux,,,
Peptic Ulcer,upper abdominal pain,heartburn,vomiting,,,
Peptic Ulcer,stomach burning,belching,loss of appetite,,,
Peptic Ulcer,indigestion,acid reflux,stomach tenderness,,,
Peptic Ulcer,stomach pain after meals,nausea,vomiting,,,
Peptic Ulcer,stomach cramps,gas,belching,,,
Peptic Ulcer,night stomach pain,fatigue,weight loss,,,
Peptic Ulcer,upper belly pain,vomiting blood,nausea,,,
Peptic Ulcer,heartburn,acid reflux,loss of appetite,,,
Peptic Ulcer,stomach pain,belching,black stool,,,
Peptic Ulcer,indigestion,stomach burning,gas,,,
GERD,heartburn,acid reflux,regurgitation,,,
GERD,chest burning,acid taste in mouth,cough,,,
GERD,acid reflux,hoarseness,sore throat,,,
GERD,heartburn at night,chest pain,regurgitation,,,
GERD,acid reflux after meals,belching,indigestion,,,
GERD,chest burning,acid reflux,throat irritation,,,
GERD,heartburn,acid taste in throat,dry cough,,,
GERD,acid reflux,hoarseness,voice changes,,,
GERD,chest pain,heartburn,regurgitation,,,
GERD,acid reflux after lying down,throat irritation,cough,,,
GERD,heartburn after eating,acid taste in mouth,belching,,,
GERD,acid reflux,chest burning,hoarse voice,,,
GERD,throat pain,acid reflux,dry cough,,,
GERD,heartburn at night,acid reflux,indigestion,,,
GERD,acid reflux,chest pain,hoarseness,,,
GERD,regurgitation,acid taste in throat,heartburn,,,
GERD,acid reflux,chest discomfort,sore throat,,,
GERD,heartburn,acid reflux,belching,,,
GERD,acid reflux,hoarse voice,indigestion,,,
GERD,chest pain,acid reflux,throat burning,,,
IBS,abdominal pain,bloating,diarrhea,,,
IBS,stomach cramps,constipation,gas,,,
IBS,abdominal pain,alternating diarrhea and constipation,bloating,,,
IBS,stomach discomfort,urgency to poop,gas,,,
IBS,abdominal pain,diarrhea,frequent bowel movements,,,
IBS,constipation,stomach cramps,hard stool,,,
IBS,abdominal bloating,gas,diarrhea,,,
IBS,stomach pain,irregular bowel habits,constipation,,,
IBS,abdominal discomfort,diarrhea,urgency,,,
IBS,stomach cramps,bloating,gas,,,
IBS,abdominal pain,constipation,diarrhea,,,
IBS,frequent bowel movements,abdominal pain,gas,,,
IBS,stomach discomfort,diarrhea,constipation,,,
IBS,abdominal pain after meals,bloating,gas,,,
IBS,alternating constipation and diarrhea,stomach cramps,urgency,,,
IBS,abdominal pain,frequent bowel changes,fatigue,,,
IBS,stomach bloating,gas,abdominal cramps,,,
IBS,constipation,stomach pain,indigestion,,,
IBS,abdominal discomfort,diarrhea,gas,,,
IBS,stomach cramps,bloating,irregular stools,,,
Constipation,hard stool,straining,abdominal pain,,,
Constipation,dry stool,infrequent bowel movement,bloating,,,
Constipation,stomach cramps,hard stool,gas,,,
Constipation,difficulty passing stool,abdominal discomfort,loss of appetite,,,
Constipation,infrequent bowel movements,stomach pain,indigestion,,,
Constipation,hard stool,bloating,belching,,,
Constipation,abdominal cramps,straining,hard stool,,,
Constipation,loss of appetite,stomach pain,constipation,,,
Constipation,hard stool,feeling of blockage,abdominal pain,,,
Constipation,incomplete bowel movement,bloating,discomfort,,,
Constipation,stomach cramps,gas,hard stool,,,
Constipation,hard stool,fatigue,abdominal pain,,,
Constipation,stomach pain,loss of appetite,indigestion,,,
Constipation,hard stool,dry stool,abdominal cramps,,,
Constipation,infrequent bowel movements,gas,hard stool,,,
Constipation,straining,abdominal discomfort,hard stool,,,
Constipation,hard stool,stomach bloating,loss of appetite,,,
Constipation,stomach pain,indigestion,constipation,,,
Constipation,hard stool,abdominal pain,fatigue,,,
Constipation,stomach cramps,hard stool,bloating,,,
Diarrhea,loose stools,abdominal cramps,dehydration,,,
Diarrhea,watery stool,urgency,stomach pain,,,
Diarrhea,frequent bowel movements,fever,nausea,,,
Diarrhea,loose stools,dehydration,thirst,,,
Diarrhea,watery diarrhea,fatigue,weakness,,,
Diarrhea,abdominal cramps,loose stools,loss of appetite,,,
Diarrhea,watery stool,fever,headache,,,
Diarrhea,frequent diarrhea,abdominal pain,dehydration,,,
Diarrhea,loose stools,gas,bloating,,,
Diarrhea,watery stool,cramps,fever,,,
Diarrhea,dehydration,thirst,dry mouth,,,
Diarrhea,loose stools,vomiting,abdominal cramps,,,
Diarrhea,watery diarrhea,weakness,headache,,,
Diarrhea,stomach cramps,loose stools,loss of appetite,,,
Diarrhea,diarrhea at night,fatigue,dehydration,,,
Diarrhea,watery stool,urgency,gas,,,
Diarrhea,abdominal cramps,frequent diarrhea,fatigue,,,
Diarrhea,loose stools,dehydration,dizziness,,,
Diarrhea,watery diarrhea,stomach pain,nausea,,,
Diarrhea,frequent diarrhea,weakness,loss of appetite,,,
Appendicitis,abdominal pain,right lower belly pain,fever,,,
Appendicitis,stomach cramps,nausea,vomiting,,,
Appendicitis,abdominal pain,worse with movement,loss of appetite,,,
Appendicitis,right lower abdominal pain,fever,chills,,,
Appendicitis,abdominal tenderness,nausea,vomiting,,,
Appendicitis,belly pain,loss of appetite,fever,,,
Appendicitis,sharp stomach pain,abdominal swelling,nausea,,,
Appendicitis,right side belly pain,vomiting,fever,,,
Appendicitis,abdominal cramps,diarrhea,loss of appetite,,,
Appendicitis,stomach ache,low-grade fever,fatigue,,,
Appendicitis,belly pain starting near navel,shifts to right side,nausea,,,
Appendicitis,abdominal swelling,tenderness,fever,,,
Appendicitis,stomach pain,worse after coughing,loss of appetite,,,
Appendicitis,right lower belly pain,vomiting,chills,,,
Appendicitis,abdominal cramps,constipation,nausea,,,
Appendicitis,belly pain,sharp cramps,loss of appetite,,,
Appendicitis,abdominal tenderness,fever,fatigue,,,
Appendicitis,stomach pain,loss of appetite,vomiting,,,
Appendicitis,right side pain,abdominal swelling,fever,,,
Appendicitis,abdominal cramps,nausea,chills,,,
Gallstones,abdominal pain,right upper belly pain,nausea,,,
Gallstones,stomach cramps,vomiting,back pain,,,
Gallstones,right side abdominal pain,fatty food triggers,bloating,,,
Gallstones,abdominal pain,shoulder pain,nausea,,,
Gallstones,upper belly cramps,indigestion,gas,,,
Gallstones,stomach ache,vomiting,fever,,,
Gallstones,abdominal pain after eating fatty foods,belching,nausea,,,
Gallstones,right upper belly tenderness,vomiting,chills,,,
Gallstones,abdominal pain spreading to back,nausea,,,,
Gallstones,stomach cramps,loss of appetite,fatigue,,,
Gallstones,abdominal pain at night,vomiting,gas,,,
Gallstones,upper belly ache,indigestion,bloating,,,
Gallstones,right upper abdominal pain,fever,chills,,,
Gallstones,stomach ache,vomiting,loss of appetite,,,
Gallstones,abdominal cramps,indigestion,shoulder pain,,,
Gallstones,upper belly tenderness,gas,nausea,,,
Gallstones,abdominal pain after meals,vomiting,belching,,,
Gallstones,stomach cramps,fever,jaundice,,,
Gallstones,upper belly ache,loss of appetite,gas,,,
Gallstones,abdominal pain,back pain,nausea,,,
Liver Cirrhosis,fatigue,jaundice,abdominal swelling,,,
Liver Cirrhosis,weakness,loss of appetite,weight loss,,,
Liver Cirrhosis,abdominal pain,swelling,fluid buildup,,,
Liver Cirrhosis,yellow skin,jaundice,itching,,,
Liver Cirrhosis,fatigue,loss of muscle mass,weight loss,,,
Liver Cirrhosis,abdominal swelling,fluid in belly,discomfort,,,
Liver Cirrhosis,jaundice,weakness,confusion,,,
Liver Cirrhosis,abdominal cramps,loss of appetite,itching,,,
Liver Cirrhosis,stomach swelling,weakness,fatigue,,,
Liver Cirrhosis,fluid retention,leg swelling,jaundice,,,
Liver Cirrhosis,fatigue,abdominal pain,loss of appetite,,,
Liver Cirrhosis,itchy skin,jaundice,weakness,,,
Liver Cirrhosis,abdominal swelling,loss of muscle mass,fatigue,,,
Liver Cirrhosis,yellow eyes,weakness,confusion,,,
Liver Cirrhosis,fatigue,abdominal swelling,jaundice,,,
Liver Cirrhosis,loss of appetite,stomach pain,itching,,,
Liver Cirrhosis,weakness,weight loss,confusion,,,
Liver Cirrhosis,abdominal pain,fatigue,fluid buildup,,,
Liver Cirrhosis,jaundice,abdominal swelling,itching,,,
Liver Cirrhosis,stomach cramps,loss of appetite,weakness,,,
Pancreatitis,severe abdominal pain,nausea,vomiting,,,
Pancreatitis,upper belly pain,fever,loss of appetite,,,
Pancreatitis,stomach pain radiating to back,nausea,,,,
Pancreatitis,abdominal cramps,vomiting,fatigue,,,
Pancreatitis,sharp upper belly pain,loss of appetite,fever,,,
Pancreatitis,stomach ache,vomiting,abdominal swelling,,,
Pancreatitis,upper abdominal pain,indigestion,fatigue,,,
Pancreatitis,abdominal tenderness,fever,chills,,,
Pancreatitis,stomach cramps,vomiting,back pain,,,
Pancreatitis,abdominal pain after eating,nausea,fatigue,,,
Pancreatitis,upper belly ache,vomiting,diarrhea,,,
Pancreatitis,stomach pain,fever,loss of appetite,,,
Pancreatitis,abdominal swelling,weakness,fatigue,,,
Pancreatitis,upper abdominal pain radiating to back,fever,nausea,,,
Pancreatitis,sharp stomach cramps,vomiting,loss of appetite,,,
Pancreatitis,abdominal tenderness,fatigue,indigestion,,,
Pancreatitis,severe belly pain,loss of appetite,fever,,,
Pancreatitis,upper abdominal pain,vomiting,chills,,,
Pancreatitis,stomach ache,weakness,nausea,,,
Pancreatitis,abdominal swelling,fever,fatigue,,,
Hypertension,headache,dizziness,blurred vision,,,
Hypertension,high blood pressure,fatigue,nosebleeds,,,
Hypertension,headache,shortness of breath,confusion,,,
Hypertension,dizziness,chest discomfort,irregular heartbeat,,,
Hypertension,blurred vision,headache,weakness,,,
Hypertension,high blood pressure,anxiety,trouble sleeping,,,
Hypertension,headache,ringing in ears,nosebleeds,,,
Hypertension,shortness of breath,headache,dizziness,,,
Hypertension,high blood pressure,no symptoms,detected on checkup,,,
Hypertension,fatigue,irritability,blurred vision,,,
Hypertension,headache,confusion,weakness,,,
Hypertension,shortness of breath,chest discomfort,fatigue,,,
Hypertension,headache,vision problems,anxiety,,,
Hypertension,high blood pressure,nosebleeds,dizziness,,,
Hypertension,headache,swelling in ankles,fatigue,,,
Hypertension,dizziness,ringing in ears,headache,,,
Hypertension,high blood pressure,no warning signs,checkup finding,,,
Hypertension,blurred vision,headache,shortness of breath,,,
Hypertension,fatigue,irritability,confusion,,,
Hypertension,high blood pressure,weakness,headache,,,
Hypotension,dizziness,lightheadedness,fainting,,,
Hypotension,low blood pressure,weakness,blurred vision,,,
Hypotension,fatigue,confusion,shallow breathing,,,
Hypotension,lightheadedness,dizziness,nausea,,,
Hypotension,low blood pressure,cold skin,clammy hands,,,
Hypotension,weakness,rapid shallow breathing,fatigue,,,
Hypotension,dizziness,blurred vision,confusion,,,
Hypotension,low blood pressure,fainting,loss of consciousness,,,
Hypotension,lightheadedness,fatigue,nausea,,,
Hypotension,weak pulse,dizziness,shallow breathing,,,
Hypotension,low blood pressure,cold hands and feet,weakness,,,
Hypotension,dizziness,ringing in ears,fatigue,,,
Hypotension,blurred vision,weakness,confusion,,,
Hypotension,low blood pressure,shock symptoms,pale skin,,,
Hypotension,fainting,lightheadedness,dizziness,,,
Hypotension,fatigue,weakness,shallow breathing,,,
Hypotension,low blood pressure,confusion,nausea,,,
Hypotension,lightheadedness,clammy skin,rapid breathing,,,
Hypotension,weakness,blurred vision,fainting,,,
Hypotension,dizziness,low blood pressure,fatigue,,,
Coronary Artery Disease,chest pain,shortness of breath,fatigue,,,
Coronary Artery Disease,angina,weakness,dizziness,,,
Coronary Artery Disease,chest tightness,fatigue,shortness of breath,,,
Coronary Artery Disease,irregular heartbeat,chest discomfort,weakness,,,
Coronary Artery Disease,chest pain with exertion,shortness of breath,sweating,,,
Coronary Artery Disease,fatigue,lightheadedness,weakness,,,
Coronary Artery Disease,chest discomfort,indigestion,shortness of breath,,,
Coronary Artery Disease,chest tightness,arm pain,jaw pain,,,
Coronary Artery Disease,fatigue,irregular pulse,shortness of breath,,,
Coronary Artery Disease,chest pain,weakness,sweating,,,
Coronary Artery Disease,chest discomfort,shortness of breath,dizziness,,,
Coronary Artery Disease,fatigue,loss of stamina,shortness of breath,,,
Coronary Artery Disease,chest tightness,lightheadedness,weakness,,,
Coronary Artery Disease,angina,chest pain,fatigue,,,
Coronary Artery Disease,chest pain during exercise,shortness of breath,sweating,,,
Coronary Artery Disease,irregular pulse,fatigue,shortness of breath,,,
Coronary Artery Disease,chest pressure,jaw pain,arm pain,,,
Coronary Artery Disease,weakness,dizziness,chest discomfort,,,
Coronary Artery Disease,chest pain,shortness of breath,sweating,,,
Coronary Artery Disease,fatigue,angina,chest tightness,,,
Angina,chest pain,pressure,shortness of breath,,,
Angina,chest discomfort,arm pain,jaw pain,,,
Angina,pressure in chest,indigestion-like pain,fatigue,,,
Angina,chest tightness,weakness,dizziness,,,
Angina,chest pain with exertion,shortness of breath,sweating,,,
Angina,chest discomfort,back pain,nausea,,,
Angina,chest tightness,shoulder pain,fatigue,,,
Angina,angina pain at rest,chest discomfort,weakness,,,
Angina,chest pain,shortness of breath,lightheadedness,,,
Angina,chest pressure,nausea,sweating,,,
Angina,chest discomfort,jaw pain,arm pain,,,
Angina,chest pain,shortness of breath,dizziness,,,
Angina,chest tightness,fatigue,loss of stamina,,,
Angina,chest discomfort,indigestion,shoulder pain,,,
Angina,chest pain during stress,shortness of breath,weakness,,,
Angina,chest tightness,nausea,fatigue,,,
Angina,chest discomfort,arm weakness,jaw pain,,,
Angina,chest pain,shortness of breath,sweating,,,
Angina,chest tightness,back pain,dizziness,,,
Angina,chest pressure,shoulder pain,fatigue,,,
Heart Attack(Myocardial Infarction),chest pain,shortness of breath,sweating,,,
Heart Attack(Myocardial Infarction),chest pressure,arm pain,jaw pain,,,
Heart Attack(Myocardial Infarction),chest discomfort,nausea,vomiting,,,
Heart Attack(Myocardial Infarction),chest pain,shortness of breath,dizziness,,,
Heart Attack(Myocardial Infarction),chest pressure,back pain,fatigue,,,
Heart Attack(Myocardial Infarction),chest tightness,sweating,weakness,,,
Heart Attack(Myocardial Infarction),chest discomfort,indigestion-like pain,nausea,,,
Heart Attack(Myocardial Infarction),chest pain spreading to left arm,jaw pain,shortness of breath,,,
Heart Attack(Myocardial Infarction),chest tightness,fatigue,confusion,,,
Heart Attack(Myocardial Infarction),chest pain,weakness,loss of consciousness,,,
Heart Attack(Myocardial Infarction),chest pressure,sweating,nausea,,,
Heart Attack(Myocardial Infarction),chest pain,back pain,shoulder pain,,,
Heart Attack(Myocardial Infarction),chest discomfort,shortness of breath,lightheadedness,,,
Heart Attack(Myocardial Infarction),chest pain spreading to jaw,arm weakness,sweating,,,
Heart Attack(Myocardial Infarction),chest pressure,fatigue,confusion,,,
Heart Attack(Myocardial Infarction),chest pain,shortness of breath,clammy skin,,,
Heart Attack(Myocardial Infarction),chest tightness,nausea,vomiting,,,
Heart Attack(Myocardial Infarction),chest pain,irregular pulse,dizziness,,,
Heart Attack(Myocardial Infarction),chest discomfort,fatigue,sweating,,,
Heart Attack(Myocardial Infarction),chest pain,shortness of breath,fatigue,,,
Stroke,sudden numbness in face,arm or leg,confusion,trouble speaking,,
Stroke,weakness on one side of the body,trouble walking,loss of balance,,,
Stroke,blurred vision,headache,difficulty understanding speech,,,
Stroke,sudden severe headache,dizziness,nausea,,,
Stroke,trouble speaking,sudden numbness in arm,loss of coordination,,,
Stroke,weakness on one side of face,difficulty seeing in one eye,confusion,,,
Stroke,sudden trouble walking,dizziness,loss of balance,,,
Stroke,slurred speech,weakness in leg,headache,,,
Stroke,sudden numbness in face,confusion,difficulty walking,,,
Stroke,trouble understanding words,weakness on right side,blurred vision,,,
Stroke,sudden dizziness,trouble speaking,loss of balance,,,
Stroke,weakness in one arm,slurred speech,confusion,,,
Stroke,sudden headache,loss of vision,nausea,,,
Stroke,difficulty walking,loss of balance,weakness in leg,,,
Stroke,sudden numbness,tingling in face,confusion,,,
Stroke,slurred speech,blurred vision,weakness,,,
Stroke,difficulty understanding others,dizziness,trouble walking,,,
Stroke,weakness on left side,headache,nausea,,,
Stroke,sudden confusion,trouble speaking,vision changes,,,
Stroke,difficulty moving one side of body,slurred speech,headache,,,
Arrhythmia,irregular heartbeat,palpitations,shortness of breath,,,
Arrhythmia,fluttering in chest,dizziness,fatigue,,,
Arrhythmia,rapid heartbeat,chest discomfort,lightheadedness,,,
Arrhythmia,slow heartbeat,confusion,weakness,,,
Arrhythmia,palpitations,shortness of breath,fainting,,,
Arrhythmia,irregular pulse,chest pain,anxiety,,,
Arrhythmia,dizziness,fatigue,palpitations,,,
Arrhythmia,shortness of breath,weakness,rapid pulse,,,
Arrhythmia,fluttering sensation in chest,chest discomfort,sweating,,,
Arrhythmia,irregular heartbeat,fainting,lightheadedness,,,
Arrhythmia,rapid pulse,shortness of breath,fatigue,,,
Arrhythmia,palpitations,weakness,confusion,,,
Arrhythmia,slow heartbeat,shortness of breath,chest discomfort,,,
Arrhythmia,chest pain,dizziness,fluttering chest,,,
Arrhythmia,irregular pulse,sweating,weakness,,,
Arrhythmia,lightheadedness,fatigue,shortness of breath,,,
Arrhythmia,irregular heartbeat,palpitations,confusion,,,
Arrhythmia,rapid heartbeat,weakness,anxiety,,,
Arrhythmia,shortness of breath,chest discomfort,palpitations,,,
Arrhythmia,dizziness,fatigue,fluttering chest,,,
Congestive Heart Failure,shortness of breath,fatigue,swelling in ankles,,,
Congestive Heart Failure,chest discomfort,swelling in legs,difficulty breathing,,,
Congestive Heart Failure,shortness of breath when lying down,fatigue,cough,,,
Congestive Heart Failure,swelling in feet,weight gain,shortness of breath,,,
Congestive Heart Failure,weakness,swollen ankles,fatigue,,,
Congestive Heart Failure,difficulty breathing at night,chest discomfort,cough,,,
Congestive Heart Failure,shortness of breath,rapid heartbeat,weakness,,,
Congestive Heart Failure,swelling in abdomen,fatigue,shortness of breath,,,
Congestive Heart Failure,chest tightness,swelling in legs,confusion,,,
Congestive Heart Failure,fatigue,swollen feet,difficulty breathing,,,
Congestive Heart Failure,shortness of breath,swollen ankles,cough,,,
Congestive Heart Failure,chest discomfort,weakness,swelling in legs,,,
Congestive Heart Failure,shortness of breath,fatigue,swollen abdomen,,,
Congestive Heart Failure,weakness,chest tightness,rapid heartbeat,,,
Congestive Heart Failure,swelling in legs,fatigue,shortness of breath,,,
Congestive Heart Failure,shortness of breath,chest pain,swelling in ankles,,,
Congestive Heart Failure,confusion,fatigue,swelling in feet,,,
Congestive Heart Failure,shortness of breath,rapid pulse,weakness,,,
Congestive Heart Failure,swelling in legs,shortness of breath,weight gain,,,
Congestive Heart Failure,chest discomfort,fatigue,swelling in ankles,,,
Atherosclerosis,chest pain,shortness of breath,fatigue,,,
Atherosclerosis,angina,weakness,lightheadedness,,,
Atherosclerosis,chest discomfort,numbness in arms or legs,dizziness,,,
Atherosclerosis,shortness of breath,chest tightness,fatigue,,,
Atherosclerosis,chest pain,weakness,sweating,,,
Atherosclerosis,arm pain,chest discomfort,shortness of breath,,,
Atherosclerosis,chest tightness,fatigue,confusion,,,
Atherosclerosis,chest pain,back pain,jaw pain,,,
Atherosclerosis,shortness of breath,loss of stamina,weakness,,,
Atherosclerosis,chest pressure,arm weakness,dizziness,,,
Atherosclerosis,chest discomfort,shortness of breath,sweating,,,
Atherosclerosis,weakness,irregular pulse,chest pain,,,
Atherosclerosis,chest tightness,arm pain,shortness of breath,,,
Atherosclerosis,chest pain with exertion,fatigue,sweating,,,
Atherosclerosis,shortness of breath,dizziness,weakness,,,
Atherosclerosis,chest pressure,jaw pain,fatigue,,,
Atherosclerosis,chest pain,shoulder discomfort,shortness of breath,,,
Atherosclerosis,chest discomfort,lightheadedness,fatigue,,,
Atherosclerosis,chest tightness,back pain,sweating,,,
Atherosclerosis,angina,chest pain,weakness,,,
Peripheral Artery Disease,leg pain while walking,cramping,weakness,,,
Peripheral Artery Disease,leg numbness,cold feet,skin color change,,,
Peripheral Artery Disease,leg cramps after exercise,weak pulse in legs,tingling,,,
Peripheral Artery Disease,pain in calf while walking,leg weakness,fatigue,,,
Peripheral Artery Disease,leg pain at night,numbness,skin changes,,,
Peripheral Artery Disease,cramping in thighs while walking,weakness,cold feet,,,
Peripheral Artery Disease,leg fatigue,poor wound healing,weak pulse,,,
Peripheral Artery Disease,cramps in hips while walking,skin discoloration,numbness,,,
Peripheral Artery Disease,leg pain after exercise,tingling,coldness,,,
Peripheral Artery Disease,leg pain when resting,skin sores,weakness,,,
Peripheral Artery Disease,numbness in legs,cold feet,poor circulation,,,
Peripheral Artery Disease,cramps in calf after walking,tingling,weakness,,,
Peripheral Artery Disease,leg weakness,poor healing wounds,fatigue,,,
Peripheral Artery Disease,pain in thighs when walking,numbness,skin color change,,,
Peripheral Artery Disease,leg cramps,weak pulse,tingling,,,
Peripheral Artery Disease,leg pain,cold skin,fatigue,,,
Peripheral Artery Disease,numbness in feet,leg weakness,poor circulation,,,
Peripheral Artery Disease,skin color changes,weak pulse,leg pain,,,
Peripheral Artery Disease,tingling in feet,leg weakness,cramping,,,
Peripheral Artery Disease,leg cramps when walking,weak pulse,poor healing,,,
Migraine,severe headache,nausea,sensitivity to light,,,
